Date;Time;Speed;Running;Battery Voltage;GSM signal strength;Odometer (Server);Satellites;Temperature A;Humidity A
2017-06-06;01:42;;;64;87;;12;15.2;46.4
2017-06-06;01:47;;;64;87;;12;15.1;47
2017-06-06;01:52;;;64;87;;12;15.1;46.4
2017-06-06;01:57;;;64;87;;14;15;46.4
2017-06-06;02:02;;;64;87;;13;15;46.4
2017-06-06;02:07;;;64;87;;14;14.9;46.4
2017-06-06;02:12;;;64;87;;14;14.8;46.4
2017-06-06;02:17;;;64;87;;12;14.8;47
2017-06-06;02:22;;;64;87;;12;14.8;47
2017-06-06;02:27;;;64;87;;12;14.7;46.4
2017-06-06;02:32;;;64;87;;12;14.6;46.4
2017-06-06;02:37;;;64;87;;13;14.6;46.4
2017-06-06;02:42;;;61;87;;10;14.5;46.3
2017-06-06;02:47;;;61;87;;11;14.5;46.3
2017-06-06;02:52;;;61;87;;12;14.5;46.9
2017-06-06;02:57;;;61;87;;13;14.4;46.3
2017-06-06;03:02;;;61;87;;14;14.4;46.3
2017-06-06;03:07;;;61;87;;12;14.3;46.3
2017-06-06;03:12;;;61;87;;13;14.3;46.9
2017-06-06;03:13;;;;;;12;;46.3
2017-06-06;03:17;;;61;87;;;14.3;
2017-06-06;03:22;;;61;90;;11;14.2;46.3
2017-06-06;03:27;;;61;87;;12;14.2;46.3
2017-06-06;03:32;;;61;87;;11;14.1;46.3
2017-06-06;03:37;;;61;90;;13;14.1;45.7
2017-06-06;03:42;;;61;87;;12;14.1;45.7
2017-06-06;03:47;;;61;90;;11;14.1;46.9
2017-06-06;03:52;;;61;90;;11;14;46.3
2017-06-06;03:57;;;58;90;;13;14;46.3
2017-06-06;04:02;;;58;90;;13;13.9;45.7
2017-06-06;04:07;;;58;90;;11;13.8;46.3
2017-06-06;04:12;;;58;87;;13;13.8;45.7
2017-06-06;04:13;;;;90;;;;46.3
2017-06-06;04:17;;;58;;;14;13.8;
2017-06-06;04:22;;;58;87;;13;13.7;46.3
2017-06-06;04:27;;;58;87;;14;13.6;46.9
2017-06-06;04:32;;;58;87;;14;13.6;46.3
2017-06-06;04:37;;;58;87;;14;13.5;45.6
2017-06-06;04:42;;;58;87;;14;13.5;45.6
2017-06-06;04:47;;;58;87;;14;13.4;45.6
2017-06-06;04:52;;;58;87;;13;13.3;45.6
2017-06-06;04:57;;;58;87;;13;13.3;46.2
2017-06-06;05:02;;;58;87;;12;13.2;45.6
2017-06-06;05:07;;;58;87;;13;13.1;45.6
2017-06-06;05:12;;;58;87;;14;13.1;45.6
2017-06-06;05:13;;;;;;;;46.2
2017-06-06;05:17;;;58;87;;13;13;45.6
2017-06-06;05:22;;;58;87;;12;13;45.6
2017-06-06;05:27;;;58;90;;13;12.9;45.6
2017-06-06;05:32;;;55;87;;11;12.8;45.6
2017-06-06;05:37;;;55;90;;11;12.8;45.6
2017-06-06;05:42;;;55;90;;12;12.8;46.2
2017-06-06;05:47;;;55;90;;11;12.8;46.2
